date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
1/2/2021,MI,13306,12598,288,708,,,2758,0,,629,7584454,0,,,7584454,,368,538121,497127,9500,0,,,,,618299,363611,,0,8122575,9500,427428,,,,,0,8202753,0
1/1/2021,MI,13018,12333,0,685,,,2758,0,,629,7584454,0,,,7584454,,368,528621,488144,0,0,,,,,618299,318389,,0,8113075,0,427428,,,,,0,8202753,0
12/31/2020,MI,13018,12333,0,685,,,2758,0,,629,7584454,0,,,7584454,,368,528621,488144,0,0,,,,,618299,318389,,0,8113075,0,427428,,,,,0,8202753,0
12/30/2020,MI,13018,12333,52,685,,,2758,0,,629,7584454,43822,,,7584454,,368,528621,488144,4782,0,,,,,618299,318389,,0,8113075,48604,427428,,,,,0,8202753,48416
12/29/2020,MI,12966,12282,212,684,,,2906,0,,649,7540632,19672,,,7540632,,390,523839,483922,3963,0,,,,,613705,318389,,0,8064471,23635,425918,,,,,0,8154337,21648
12/28/2020,MI,12754,12089,64,665,,,2811,0,,662,7520960,58017,,,7520960,,407,519876,480508,3550,0,,,,,611729,318389,,0,8040836,61567,423406,,,,,0,8132689,62944
12/27/2020,MI,12690,12029,0,661,,,3108,0,,738,7462943,0,,,7462943,,416,516326,477269,0,0,,,,,606802,318389,,0,7979269,0,422569,,,,,0,8069745,0
12/26/2020,MI,12690,12029,275,661,,,3108,0,,738,7462943,121344,,,7462943,,416,516326,477269,7877,0,,,,,606802,318389,,0,7979269,129221,422569,,,,,0,8069745,132087
12/25/2020,MI,12415,11775,0,640,,,3108,0,,738,7341599,0,,,7341599,,416,508449,469928,0,0,,,,,596059,284731,,0,7850048,0,415661,,,,,0,7937658,0
12/24/2020,MI,12415,11775,0,640,,,3108,0,,738,7341599,0,,,7341599,,416,508449,469928,0,0,,,,,596059,284731,,0,7850048,0,415661,,,,,0,7937658,0
12/23/2020,MI,12415,11775,73,640,,,3108,0,,738,7341599,30230,,,7341599,,416,508449,469928,3820,0,,,,,596059,284731,,0,7850048,34050,415661,,,,,0,7937658,32764
12/22/2020,MI,12342,11705,189,637,,,3156,0,,731,7311369,30308,,,7311369,,426,504629,466485,3514,0,,,,,593525,284731,,0,7815998,33822,413750,,,,,0,7904894,33595
12/21/2020,MI,12153,11532,79,621,,,3179,0,,711,7281061,77483,,,7281061,,436,501115,463403,5059,0,,,,,590238,284731,,0,7782176,82542,411872,,,,,0,7871299,84618
